MAD,MAPE,RMSE,State,Test Type
4140.040897675632,24.38189928593238,5072.334488002331,RO,yhat
4261.361456538967,24.765694066740064,5267.4078330348575,RO,yhat_lower
4074.9549509706912,24.384817333347222,4911.540861275982,RO,yhat_upper
2103.0286600560435,19.024881590380392,2455.539285438269,AC,yhat
2024.6497093525777,18.17754141506744,2358.4241437485043,AC,yhat_lower
2178.0007225717277,19.83799147591624,2562.4982373733083,AC,yhat_upper
10059.267910190574,16.43398801818953,11977.666648264172,AM,yhat
9593.120327522069,15.60463280507135,11287.599442001201,AM,yhat_lower
10554.90681660168,17.313893446459076,12756.511721307501,AM,yhat_upper
3133.100830200692,29.77170172220876,3897.0916529005312,RR,yhat
3097.3051881407864,28.791022906253904,3952.6829023581813,RR,yhat_lower
3185.0702183281446,30.936717646641114,3850.4718488175995,RR,yhat_upper
17930.333206815616,21.596394583839462,20742.954771257348,PA,yhat
17437.588084117866,20.823919517482814,20212.07163938971,PA,yhat_lower
18462.807498143164,22.427643089107953,21414.41249874123,PA,yhat_upper
6262.794307069511,26.340559575976652,7177.300084704058,AP,yhat
6205.413277628419,25.847528541424126,7169.604092571051,AP,yhat_lower
6321.041173794349,26.842660824446153,7199.072417065716,AP,yhat_upper
1823.048072214291,21.831659758806452,2098.6338038929507,TO,yhat
1762.9249427192397,20.967400062154006,2032.813501054787,TO,yhat_lower
1889.152047192796,22.771661543882193,2174.986179350127,TO,yhat_upper
13157.999091074409,19.503038843256743,15593.034248279802,MA,yhat
12496.023241588318,18.432512445658595,14709.363928798146,MA,yhat_lower
13973.793085140853,20.80360392153265,16640.289667259003,MA,yhat_upper
4434.1737939792365,27.93391715831807,5430.374237686368,PI,yhat
4479.505082479177,27.929693133002747,5532.604870960531,PI,yhat_lower
4390.390131518532,27.94403924764508,5339.540966778181,PI,yhat_upper
16677.038568763754,18.07086375467572,19399.566294378452,CE,yhat
16358.511364198677,17.524589605499127,19162.293040100034,CE,yhat_lower
16991.14136324775,18.604968328640638,19803.591263531078,CE,yhat_upper
5839.522641584118,27.743589211743664,7036.761456242628,RN,yhat
5870.470090046046,27.51149780260418,7167.994989013797,RN,yhat_lower
5812.514491617102,27.992570160983576,6932.897972266322,RN,yhat_upper
8848.231790592039,23.765486343364238,10277.503903961217,PB,yhat
8825.167363793142,23.4239842323439,10304.469957450583,PB,yhat_lower
8864.14607701564,24.078600001597504,10293.082136066538,PB,yhat_upper
7141.536825009369,14.047068846693604,8392.635476288351,PE,yhat
6626.92085754986,12.905085568758178,7772.559141146868,PE,yhat_lower
7654.231224732965,15.169308463925352,9016.134734120125,PE,yhat_upper
6745.1944308064085,22.82552461091496,7907.426686145674,AL,yhat
6738.504892912709,22.55937195921314,7985.762536237135,AL,yhat_lower
6776.654201310535,23.19159922543925,7885.44660317347,AL,yhat_upper
5728.5529823931865,27.16177921442105,7003.32506475407,SE,yhat
5948.282395923989,28.226667428848863,7210.978536236955,SE,yhat_lower
5530.138844560175,26.219528963615502,6807.768717822387,SE,yhat_upper
12806.316381711087,23.96105122049805,16413.512098769006,BA,yhat
12891.449549665249,23.79725526079455,16709.014030202827,BA,yhat_lower
12755.259139197631,24.206492036694222,16175.781418314344,BA,yhat_upper
9072.265675417122,27.134493591954612,11735.142561028119,MG,yhat
9177.52498988558,27.173547624511603,11924.201317730187,MG,yhat_lower
9039.58147991221,27.384591595756746,11577.198199610746,MG,yhat_upper
8608.308293879589,23.030011268044078,10346.03080089585,ES,yhat
8760.74790214101,23.188934956613032,10618.434920796313,ES,yhat_lower
8459.096516428774,22.870803628098212,10125.185485128333,ES,yhat_upper
17590.186711801318,18.712334137432446,20403.739622113968,RJ,yhat
16954.014785702464,17.887536992856713,19628.208478731365,RJ,yhat_lower
18119.35071646292,19.398459325735406,21049.94687847146,RJ,yhat_upper
46276.91706231155,20.072471883581684,55039.77018287899,SP,yhat
46019.384270088536,19.794716086631848,55079.830772085195,SP,yhat_lower
46577.2735603576,20.367226657873694,55230.19223073017,SP,yhat_upper
5315.198220976528,31.801111447289255,6584.867981806727,PR,yhat
5394.466168481389,32.03552490233488,6703.056910389312,PR,yhat_lower
5242.060411274873,31.620096043630497,6472.941053018089,PR,yhat_upper
4831.730201768507,24.443905348764304,5891.034809696978,SC,yhat
4816.218450766584,24.14809730741253,5911.8604448184315,SC,yhat_lower
4855.352353702876,24.795469907287877,5884.106340763251,SC,yhat_upper
4779.747647678355,22.871824058111123,5775.871155296487,RS,yhat
4758.061143586367,22.53466138296478,5791.88050061328,RS,yhat_lower
4800.987493944802,23.199842805521627,5773.35854024319,RS,yhat_upper
2035.6527010475725,32.99317518483157,2542.964452059543,MS,yhat
2080.5689466122667,33.572795350978936,2595.056773966771,MS,yhat_lower
2006.0112503443627,32.75582372478187,2495.4875687246354,MS,yhat_upper
4117.716114712253,35.9381304182464,5166.588378574041,MT,yhat
4185.3412741464035,36.20547773348222,5270.563829622562,MT,yhat_lower
4050.070081895283,35.66951721617349,5066.350886027621,MT,yhat_upper
7132.587480970551,39.59513015478976,8598.77036065635,GO,yhat
7305.888481966445,40.47245131728469,8769.84576314759,GO,yhat_lower
6967.0213927761615,38.80768191763252,8422.288719112123,GO,yhat_upper
10720.206911221921,29.045079154417724,13121.009452844539,DF,yhat
10999.428740562566,29.508539710781438,13513.75106757804,DF,yhat_lower
10514.552627945448,28.849124488047796,12761.85576535388,DF,yhat_upper
236176.58108283964,21.022338019645925,278975.2954548742,BRAZIL,yhat
233687.17729463478,20.63028618506113,277298.8114992335,BRAZIL,yhat_lower
240241.11147182473,21.574033796493275,282039.47164582607,BRAZIL,yhat_upper
